"","orig.dest","orig","dest","year","orig_code","dest_code","flows","contig","comlang_off","colony","dist","col45","landlocked_orig","landlocked_dest","gdp_pc_dest","gdp_pc_orig","population_dest","population_orig"
"40","AZE_AUS","AZE","AUS",2020,31,36,89,0,0,0,13244.84,0,1,0,46255.9119868882,14695.5522360354,25499881,10139175
"41","BDI_AUS","BDI","AUS",2000,108,36,1,0,0,0,12673.1,0,1,0,36510.1629185009,615.493759675564,18991434,6378871
"42","BDI_AUS","BDI","AUS",2005,108,36,187,0,0,0,12673.1,0,1,0,40542.4981461435,608.655067828152,20178543,7364857
"43","BDI_AUS","BDI","AUS",2010,108,36,2292,0,0,0,12673.1,0,1,0,42588.4509885439,640.724413270717,22154687,8675606
"44","BDI_AUS","BDI","AUS",2015,108,36,539,0,0,0,12673.1,0,1,0,45369.3103353939,657.516986461546,23932499,10160034
"45","BDI_AUS","BDI","AUS",2020,108,36,379,0,0,0,12673.1,0,1,0,46255.9119868882,594.327054308127,25499881,11890781
"46","BEL_AUS","BEL","AUS",2000,56,36,93,0,0,0,16759.6,0,0,0,36510.1629185009,36507.1816781023,18991434,10282046
"47","BEL_AUS","BEL","AUS",2005,56,36,623,0,0,0,16759.6,0,0,0,40542.4981461435,39051.7929897471,20178543,10546885
"48","BEL_AUS","BEL","AUS",2010,56,36,787,0,0,0,16759.6,0,0,0,42588.4509885439,40613.8420954086,22154687,10938735
"49","BEL_AUS","BEL","AUS",2015,56,36,1013,0,0,0,16759.6,0,0,0,45369.3103353939,41998.122306616,23932499,11287931
"50","BEL_AUS","BEL","AUS",2020,56,36,827,0,0,0,16759.6,0,0,0,46255.9119868882,41160.2473172668,25499881,11589616
"51","BEN_AUS","BEN","AUS",2000,204,36,0,0,0,0,15588.36,0,0,0,36510.1629185009,2203.17557336662,18991434,6865946
"52","BEN_AUS","BEN","AUS",2005,204,36,2,0,0,0,15588.36,0,0,0,40542.4981461435,2273.84861259734,20178543,7982223
"53","BEN_AUS","BEN","AUS",2010,204,36,3,0,0,0,15588.36,0,0,0,42588.4509885439,2358.39543836554,22154687,9199254
"54","BEN_AUS","BEN","AUS",2015,204,36,14,0,0,0,15588.36,0,0,0,45369.3103353939,2628.64371794237,23932499,10575962
"55","BEN_AUS","BEN","AUS",2020,204,36,6,0,0,0,15588.36,0,0,0,46255.9119868882,2937.0705060313,25499881,12123198
"56","BGD_AUS","BGD","AUS",2000,50,36,310,0,0,0,9077.625,0,0,0,36510.1629185009,1721.46796589645,18991434,127657862
"57","BGD_AUS","BGD","AUS",2005,50,36,4279,0,0,0,9077.625,0,0,0,40542.4981461435,2059.57031865097,20178543,139035505
"58","BGD_AUS","BGD","AUS",2010,50,36,11129,0,0,0,9077.625,0,0,0,42588.4509885439,2605.49725337617,22154687,147575433
"59","BGD_AUS","BGD","AUS",2015,50,36,13721,0,0,0,9077.625,0,0,0,45369.3103353939,3332.92105861853,23932499,156256287
"60","BGD_AUS","BGD","AUS",2020,50,36,8951,0,0,0,9077.625,0,0,0,46255.9119868882,4370.78710617944,25499881,164689383
"61","BGR_AUS","BGR","AUS",2000,100,36,121,0,0,0,15449.53,0,0,0,36510.1629185009,9086.46212184996,18991434,7997951
"62","BGR_AUS","BGR","AUS",2005,100,36,561,0,0,0,15449.53,0,0,0,40542.4981461435,12489.1132489832,20178543,7686964
"63","BGR_AUS","BGR","AUS",2010,100,36,461,0,0,0,15449.53,0,0,0,42588.4509885439,15225.9379201366,22154687,7425011
"64","BGR_AUS","BGR","AUS",2015,100,36,418,0,0,0,15449.53,0,0,0,45369.3103353939,17108.34397382,23932499,7199739
"65","BGR_AUS","BGR","AUS",2020,100,36,359,0,0,0,15449.53,0,0,0,46255.9119868882,19769.9215361969,25499881,6948445
