asdf_id,gpw_v4_rev11_density.2020.mean,gpw_v4_rev11_count.2020.sum,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
57,120.81185015546313,2457.57177734375,ADM2,57,57,COD,COD-ADM2-86626825B96920197,Ingbokolo,ADM2
58,13.452999197586939,227067.296875,ADM2,58,58,COD,COD-ADM2-86626825B63629911,Ingende,ADM2
59,34.369324579011526,1881.638916015625,ADM2,59,59,COD,COD-ADM2-86626825B86263935,Inkisi,ADM2
60,13.667840086370999,323524.5859375,ADM2,60,60,COD,COD-ADM2-86626825B12996654,Inongo,ADM2
61,107.01174284991617,851004.625,ADM2,61,61,COD,COD-ADM2-86626825B3703590,Irumu,ADM2
62,39.618470590704526,536361.625,ADM2,62,62,COD,COD-ADM2-86626825B95924193,Isangi,ADM2
63,24.201160099612625,1442.8408203125,ADM2,63,63,COD,COD-ADM2-86626825B12329662,Isiro,ADM2
64,19.72571679849081,288254.21875,ADM2,64,64,COD,COD-ADM2-86626825B6616983,Kabalo,ADM2
65,22.742562758364826,430843.9375,ADM2,65,65,COD,COD-ADM2-86626825B27145603,Kabambare,ADM2
66,268.49089007316485,600117.375,ADM2,66,66,COD,COD-ADM2-86626825B48376074,Kabare,ADM2
67,79.88706773079367,181050.0,ADM2,67,67,COD,COD-ADM2-86626825B92904827,Kabeya-Kamwanga,ADM2
68,42.4710504597843,609140.8125,ADM2,68,68,COD,COD-ADM2-86626825B85697010,Kabinda,ADM2
69,69.502275609727661,1439419.0209960938,ADM2,69,69,COD,COD-ADM2-86626825B81958982,Kabongo,ADM2
70,16.843784666081923,333408.25,ADM2,70,70,COD,COD-ADM2-86626825B88940828,Kahemba,ADM2
71,7.1249977950692829,159556.359375,ADM2,71,71,COD,COD-ADM2-86626825B28949168,Kailo,ADM2
72,168.1103566013088,761482.375,ADM2,72,72,COD,COD-ADM2-86626825B3774248,Kalehe,ADM2
73,31.731043621544888,824292.4375,ADM2,73,73,COD,COD-ADM2-86626825B19159188,Kalemie,ADM2
74,25.334609210396106,4037.088134765625,ADM2,74,74,COD,COD-ADM2-86626825B65134641,Kalima,ADM2
75,60.35166217433654,1288348.875,ADM2,75,75,COD,COD-ADM2-86626825B66881671,Kambove,ADM2
76,168.9572124215537,216871.578125,ADM2,76,76,COD,COD-ADM2-86626825B78638746,Kamiji,ADM2
77,26.931551830421505,1107409.416015625,ADM2,77,77,COD,COD-ADM2-86626825B3908865,Kamina,ADM2
78,44.59656919360346,541.5060424804688,ADM2,78,78,COD,COD-ADM2-86626825B19023659,Kamituga,ADM2
79,96.97123252837534,2632253.75,ADM2,79,79,COD,COD-ADM2-86626825B77515777,Kamonia,ADM2
80,1653.9647113561089,1263969.625,ADM2,80,80,COD,COD-ADM2-86626825B20881260,Kananga,ADM2
81,31.645567245759445,433717.65625,ADM2,81,81,COD,COD-ADM2-86626825B16476109,Kaniama,ADM2
82,26.370015011965513,324.8074951171875,ADM2,82,82,COD,COD-ADM2-86626825B64377505,Kaoze,ADM2
83,18.36721546823172,460922.5625,ADM2,83,83,COD,COD-ADM2-86626825B14473602,Kapanga,ADM2
84,32.244051060409895,374.76654052734375,ADM2,84,84,COD,COD-ADM2-86626825B95002135,Kasaji,ADM2
85,43.16771454746613,159631.71875,ADM2,85,85,COD,COD-ADM2-86626825B11532306,Kasangulu,ADM2
86,30.658164341447055,729235.1875,ADM2,86,86,COD,COD-ADM2-86626825B41730799,Kasenga,ADM2
87,37.898800820849466,627693.5625,ADM2,87,87,COD,COD-ADM2-86626825B36383654,Kasongo,ADM2
88,20.938491677796467,562849.2136230469,ADM2,88,88,COD,COD-ADM2-86626825B26626621,Kasongo-Lunda,ADM2
89,2.0518139688825285,377.6846923828125,ADM2,89,89,COD,COD-ADM2-86626825B66732287,Katako-Kombe,ADM2
90,382.42818662443403,56054.5703125,ADM2,90,90,COD,COD-ADM2-86626825B56696403,Katanda,ADM2
91,81.81272307905317,1010182.375,ADM2,91,91,COD,COD-ADM2-86626825B11239650,Kazumba,ADM2
92,29.40217741456413,546780.75,ADM2,92,92,COD,COD-ADM2-86626825B6327689,Kenge,ADM2
93,8.955554053609456,200822.40625,ADM2,93,93,COD,COD-ADM2-86626825B38935121,Kibombo,ADM2
94,4286.309015821164,354750.6875,ADM2,94,94,COD,COD-ADM2-86626825B40882617,Kikwit,ADM2
95,13.507758885549846,52053.890625,ADM2,95,95,COD,COD-ADM2-86626825B33855513,Kimvula,ADM2
96,1815.9532220224548,245088.265625,ADM2,96,96,COD,COD-ADM2-86626825B7751356,Kindu,ADM2
97,573.4255653321653,6094830.5,ADM2,97,97,COD,COD-ADM2-86626825B54381125,Kinshasa,ADM2
98,73.40906614043666,617826.25,ADM2,98,98,COD,COD-ADM2-86626825B98106802,Kipushi,ADM2
99,12.832716271540598,161936.40625,ADM2,99,99,COD,COD-ADM2-86626825B24801969,Kiri,ADM2
100,355.13362552734503,762860.625,ADM2,100,100,COD,COD-ADM2-86626825B57758151,Kisangani,ADM2
101,5.353074293678115,1343.72021484375,ADM2,101,101,COD,COD-ADM2-86626825B20547596,Kole,ADM2
102,7.2060360775660826,178.30902099609375,ADM2,102,102,COD,COD-ADM2-86626825B58847215,Kolwezi,ADM2
103,68.5795575297235,898919.1875,ADM2,103,103,COD,COD-ADM2-86626825B19804582,Kongolo,ADM2
104,43.74632492115139,532615.25,ADM2,104,104,COD,COD-ADM2-86626825B47251590,Kungu,ADM2
105,9.599127527802741,176877.625,ADM2,105,105,COD,COD-ADM2-86626825B59029668,Kutu,ADM2
106,6.993433529692893,98476.03125,ADM2,106,106,COD,COD-ADM2-86626825B74407188,Kwamouth,ADM2
107,26.974205615755476,340244.21875,ADM2,107,107,COD,COD-ADM2-86626825B72658644,Libenge,ADM2
108,2066.152909787466,564685.875,ADM2,108,108,COD,COD-ADM2-86626825B8434635,Likasi,ADM2
109,38.737575569793094,599506.4375,ADM2,109,109,COD,COD-ADM2-86626825B20328430,Lisala,ADM2
110,3.69787076693763,78.23384857177734,ADM2,110,110,COD,COD-ADM2-86626825B55226851,Lodja,ADM2
111,2.6132459918415529,662.7890319824219,ADM2,111,111,COD,COD-ADM2-86626825B11783205,Lomela,ADM2
112,25.727141952147605,570258.875,ADM2,112,112,COD,COD-ADM2-86626825B42535554,Lubao,ADM2
113,5.355410184723597,1229.42333984375,ADM2,113,113,COD,COD-ADM2-86626825B19782845,Lubefu,ADM2
114,87.74200833629934,1504695.375,ADM2,114,114,COD,COD-ADM2-86626825B55914231,Lubero,ADM2
115,37.473637000586436,691730.6171875,ADM2,115,115,COD,COD-ADM2-86626825B93676517,Lubudi,ADM2
116,3885.0526634448706,3226537.25,ADM2,116,116,COD,COD-ADM2-86626825B42158995,Lubumbashi,ADM2
117,12.626367798064544,201687.375,ADM2,117,117,COD,COD-ADM2-86626825B2841912,Lubutu,ADM2
118,65.05087634604251,532599.1875,ADM2,118,118,COD,COD-ADM2-86626825B66627335,Luebo,ADM2
119,84.86806933122101,903221.875,ADM2,119,119,COD,COD-ADM2-86626825B81023837,Luilu,ADM2
120,69.55210464978593,1106582.25,ADM2,120,120,COD,COD-ADM2-86626825B22875114,Luiza,ADM2
121,286.9161086928261,2904.6982421875,ADM2,121,121,COD,COD-ADM2-86626825B98388343,Lukalaba,ADM2
122,18.028628750499532,147659.5,ADM2,122,122,COD,COD-ADM2-86626825B36342772,Lukolela,ADM2
123,78.3514819423012,281262.59375,ADM2,123,123,COD,COD-ADM2-86626825B43198249,Lukula,ADM2
124,22.127656255702828,157460.859375,ADM2,124,124,COD,COD-ADM2-86626825B52973280,Luozi,ADM2
125,249.52183060097937,497075.5625,ADM2,125,125,COD,COD-ADM2-86626825B41928053,Lupatapata,ADM2
126,13.385584052853307,155369.53125,ADM2,126,126,COD,COD-ADM2-86626825B48454943,Lusambo,ADM2
127,33.456616396684865,260681.96875,ADM2,127,127,COD,COD-ADM2-86626825B41107905,Madimba,ADM2
128,234.15257021374782,1225498.625,ADM2,128,128,COD,COD-ADM2-86626825B96980307,Mahagi,ADM2
129,17.874276553250542,114390.9609375,ADM2,129,129,COD,COD-ADM2-86626825B29749601,Makanza,ADM2
130,143.6778998203788,2151242.5,ADM2,130,130,COD,COD-ADM2-86626825B21973067,Malemba-Nkulu,ADM2
131,8.6450656871240881,307557.8420410156,ADM2,131,131,COD,COD-ADM2-86626825B34551136,Mambasa,ADM2
132,46.76007235000821,734.0045166015625,ADM2,132,132,COD,COD-ADM2-86626825B95793475,Mangai,ADM2
133,37.772398767357771,1288610.184384346,ADM2,133,133,COD,COD-ADM2-86626825B99086053,Manono,ADM2
134,39.435809341190534,570815.0625,ADM2,134,134,COD,COD-ADM2-86626825B91609384,Masi-Manimba,ADM2
135,266.2019250989856,1152573.0,ADM2,135,135,COD,COD-ADM2-86626825B44279613,Masisi,ADM2
136,1748.4548071173595,104306.203125,ADM2,136,136,COD,COD-ADM2-86626825B39314654,Matadi,ADM2
137,475.1828861380148,329411.125,ADM2,137,137,COD,COD-ADM2-86626825B77420169,Mbandaka,ADM2
138,48.93319186973134,427108.28125,ADM2,138,138,COD,COD-ADM2-86626825B54075717,Mbanza-Ngungu,ADM2
139,21519.479995085396,3012197.25,ADM2,139,139,COD,COD-ADM2-86626825B26177397,Mbuji-Mayi,ADM2
140,98.99322757432628,162647.90625,ADM2,140,140,COD,COD-ADM2-86626825B73169427,Miabi,ADM2
141,23.015981132295696,560870.634765625,ADM2,141,141,COD,COD-ADM2-86626825B21458039,Mitwaba,ADM2
142,32.969818658440786,126651.9296875,ADM2,142,142,COD,COD-ADM2-86626825B60627548,Moanda,ADM2
143,27.282349158939891,799967.96484375,ADM2,143,143,COD,COD-ADM2-86626825B21929533,Moba,ADM2
144,13.940289549428753,118404.1328125,ADM2,144,144,COD,COD-ADM2-86626825B39676870,Mobayi-Mbongo,ADM2
145,211.5464611572751,1885.067138671875,ADM2,145,145,COD,COD-ADM2-86626825B7057576,Mongwalu,ADM2
146,2.9508564572350342,106035.87477111816,ADM2,146,146,COD,COD-ADM2-86626825B65181745,Monkoto,ADM2
147,9.031094442628625,106887.015625,ADM2,147,147,COD,COD-ADM2-86626825B95767114,Mushie,ADM2
148,23.793320053699,570596.5,ADM2,148,148,COD,COD-ADM2-86626825B34010355,Mutshatsha,ADM2
149,45.25698845736589,892636.0625,ADM2,149,149,COD,COD-ADM2-86626825B98452657,Mweka,ADM2
150,1647.6072521899189,247429.3125,ADM2,150,150,COD,COD-ADM2-86626825B5666788,Mwene-Ditu,ADM2
151,45.278189091677575,502561.84375,ADM2,151,151,COD,COD-ADM2-86626825B57227846,Mwenga,ADM2
152,21.95852331159047,338.099609375,ADM2,152,152,COD,COD-ADM2-86626825B42254659,Namoya,ADM2
153,129.47566938763234,736575.375,ADM2,153,153,COD,COD-ADM2-86626825B60664629,Ngandajika,ADM2
154,12.523902066478803,117369.140625,ADM2,154,154,COD,COD-ADM2-86626825B12429193,Niangara,ADM2
155,9.442144139112772,280.16937255859375,ADM2,155,155,COD,COD-ADM2-86626825B41674226,Nioki,ADM2
156,1339.2792364588183,573999.875,ADM2,156,156,COD,COD-ADM2-86626825B78875074,Nyiragongo,ADM2
157,17.750281874113455,277602.375,ADM2,157,157,COD,COD-ADM2-86626825B8991612,Nyunzu,ADM2
158,60.616429268395095,435175.1875,ADM2,158,158,COD,COD-ADM2-86626825B36156895,Oïcha,ADM2
159,9.9091682665760459,262347.35653686523,ADM2,159,159,COD,COD-ADM2-86626825B22753236,Opala,ADM2
160,6.5773380070666461,274055.1982421875,ADM2,160,160,COD,COD-ADM2-86626825B13588587,Oshwe,ADM2
161,26.005169089146797,371547.65625,ADM2,161,161,COD,COD-ADM2-86626825B11428938,Pangi,ADM2
162,13.908117951532997,306196.34375,ADM2,162,162,COD,COD-ADM2-86626825B3776720,Poko,ADM2
163,24.12066677506089,150470.953125,ADM2,163,163,COD,COD-ADM2-86626825B62321851,Popokabaka,ADM2
164,10.992085099388232,180647.90625,ADM2,164,164,COD,COD-ADM2-86626825B34079899,Punia,ADM2
165,44.155880411616124,1080827.484375,ADM2,165,165,COD,COD-ADM2-86626825B19908270,Pweto,ADM2
166,24.143869394295727,226730.6875,ADM2,166,166,COD,COD-ADM2-86626825B3361991,Rungu,ADM2
167,206.66414359233426,1115628.0,ADM2,167,167,COD,COD-ADM2-86626825B88506100,Rutshuru,ADM2
168,21.322632605864353,450415.515625,ADM2,168,168,COD,COD-ADM2-86626825B78853620,Sakania,ADM2
169,21.491108072875605,639296.078125,ADM2,169,169,COD,COD-ADM2-86626825B58926507,Sandoa,ADM2
170,71.70247113117969,251177.21875,ADM2,170,170,COD,COD-ADM2-86626825B99780761,Seke-Banza,ADM2
171,14.881545772926566,369826.3125,ADM2,171,171,COD,COD-ADM2-86626825B95373722,Shabunda,ADM2
172,25.909696276122357,206304.265625,ADM2,172,172,COD,COD-ADM2-86626825B57095129,Songololo,ADM2
173,75.88478733172347,253393.953125,ADM2,173,173,COD,COD-ADM2-86626825B67990591,Tshela,ADM2
174,97.9501869757343,8022.71044921875,ADM2,174,174,COD,COD-ADM2-86626825B72967651,Tshikapa,ADM2
175,296.145469258459,561212.4375,ADM2,175,175,COD,COD-ADM2-86626825B21154601,Tshilenge,ADM2
176,119.20226835094036,3344.16845703125,ADM2,176,176,COD,COD-ADM2-86626825B85979792,Tshimbulu,ADM2
177,NA,NA,ADM2,177,177,COD,COD-ADM2-86626825B33477805,Tshumbe,ADM2
178,7.38679511452378,304312.5859375,ADM2,178,178,COD,COD-ADM2-86626825B49707155,Ubundu,ADM2
179,195.81822522801878,691308.3125,ADM2,179,179,COD,COD-ADM2-86626825B83505065,Uvira,ADM2
180,20.49933746125577,486637.3310546875,ADM2,180,180,COD,COD-ADM2-86626825B95952634,Walikale,ADM2
181,391.2702151896353,646064.375,ADM2,181,181,COD,COD-ADM2-86626825B97136609,Walungu,ADM2
182,38.36388685701267,379983.8125,ADM2,182,182,COD,COD-ADM2-86626825B74277750,Wamba,ADM2
183,19.080515418262806,314701.90625,ADM2,183,183,COD,COD-ADM2-86626825B32809252,Watsa,ADM2
184,7.1532534911330288,152968.36328125,ADM2,184,184,COD,COD-ADM2-86626825B98477366,Yahuma,ADM2
185,16.8063379487546,273479.84375,ADM2,185,185,COD,COD-ADM2-86626825B26176653,Yakoma,ADM2
186,39.766135548983094,1329.5137939453125,ADM2,186,186,COD,COD-ADM2-86626825B69500862,Yangambi,ADM2
187,86.82920127502393,98071.6015625,ADM2,187,187,COD,COD-ADM2-86626825B15924383,Yumbi,ADM2
188,107.65588233646311,74936.796875,ADM2,188,188,COD,COD-ADM2-86626825B15660398,Zongo,ADM2
