"","Region","Year","Beauty Expenditure Total"
"160","SAPMENA",2019,482671515325.179
"161","SAPMENA",2020,468288194644.516
"162","SAPMENA",2021,492091698010.508
"163","SAPMENA",2022,521854726475.915
"164","SAPMENA",2023,545750553290.943
"165","SAPMENA",2024,574273996083.958
"166","SAPMENA",2025,604859676026.187
"167","SAPMENA",2026,637416375559.159
"168","SAPMENA",2027,671936026780.63
"169","SAPMENA",2028,708707899724.318
"170","SAPMENA",2029,747220160298.269
"171","SAPMENA",2030,787463923760.821
"172","SAPMENA",2031,829339590968.361
"173","SAPMENA",2032,872909752945.506
"174","SAPMENA",2033,918413848409.257
"175","SAPMENA",2034,965827068818.574
"176","Sub-Sahara Africa",2000,31790514171.6313
"177","Sub-Sahara Africa",2001,34784170173.3845
"178","Sub-Sahara Africa",2002,36960479127.3751
"179","Sub-Sahara Africa",2003,38268936918.6322
"180","Sub-Sahara Africa",2004,40133106839.2167
"181","Sub-Sahara Africa",2005,42394973802.1933
"182","Sub-Sahara Africa",2006,43912356388.6555
"183","Sub-Sahara Africa",2007,49256691668.3272
"184","Sub-Sahara Africa",2008,50377166006.762
"185","Sub-Sahara Africa",2009,53615076409.3146
"186","Sub-Sahara Africa",2010,56949123675.4137
"187","Sub-Sahara Africa",2011,59495810560.4801
"188","Sub-Sahara Africa",2012,60883223456.8891
"189","Sub-Sahara Africa",2013,67120997257.5489
"190","Sub-Sahara Africa",2014,69441865966.5983
"191","Sub-Sahara Africa",2015,73943783580.1284
"192","Sub-Sahara Africa",2016,75776208344.1364
"193","Sub-Sahara Africa",2017,77215576394.9465
"194","Sub-Sahara Africa",2018,79100305362.0842
"195","Sub-Sahara Africa",2019,81506579816.2952
"196","Sub-Sahara Africa",2020,78811898050.0586
"197","Sub-Sahara Africa",2021,81428422637.1284
"198","Sub-Sahara Africa",2022,84746608590.0628
"199","Sub-Sahara Africa",2023,87887204396.9248
"200","Sub-Sahara Africa",2024,91729684251.0675
"201","Sub-Sahara Africa",2025,95729528086.528
"202","Sub-Sahara Africa",2026,99900526664.616
"203","Sub-Sahara Africa",2027,104403663212.344
"204","Sub-Sahara Africa",2028,109202099458.049
"205","Sub-Sahara Africa",2029,114256721490.411
"206","Sub-Sahara Africa",2030,119596910671.798
"207","Sub-Sahara Africa",2031,125189648798.481
"208","Sub-Sahara Africa",2032,131079228993.193
"209","Sub-Sahara Africa",2033,137282955745.883
"210","Sub-Sahara Africa",2034,143809479829.489
