"ccode","year","migration","displacement","relocation"
"BRA",NA,NA,NA,NA
"ARG",NA,NA,NA,NA
"CHN",NA,NA,NA,NA
"CHL",NA,NA,NA,NA
"DEU",NA,NA,NA,NA
"CAN",NA,NA,NA,NA
"CYP",NA,NA,NA,NA
"AUS",NA,NA,NA,NA
"ITA",NA,NA,NA,NA
"IDN",NA,NA,NA,NA
"KOR",NA,NA,NA,NA
"PER",NA,NA,NA,NA
"FRA",NA,NA,NA,NA
"GRC",NA,NA,NA,NA
"IND",NA,NA,NA,NA
"IRN",NA,NA,NA,NA
"IRQ",NA,NA,NA,NA
"MNG",NA,NA,NA,NA
"MYS",NA,NA,NA,NA
"NZL",NA,NA,NA,NA
"PAN",NA,NA,NA,NA
"MEX",NA,NA,NA,NA
"ESP",NA,NA,NA,NA
"JPN",NA,NA,NA,NA
"OMN",NA,NA,NA,NA
"FJI",NA,NA,NA,NA
"VNM",NA,NA,NA,NA
"SRB",NA,NA,NA,NA
"USA",NA,NA,NA,NA
"PHL",NA,NA,NA,NA
"ROU",NA,NA,NA,NA
"TUR",NA,NA,NA,NA
"UKR",NA,NA,NA,NA
"YEM",NA,NA,NA,NA
"TLS",NA,NA,NA,NA
"SWE",NA,NA,NA,NA
"ZAF",NA,NA,NA,NA
"BGR",NA,NA,NA,NA
"TWN",NA,NA,NA,NA
